,publisher,dagger,author,isbn,price,date,title,weeks_on_list,no_of_words_title,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,Riverhead,0,Paula Hawkins,1594634025,0,2017-02-19,THE GIRL ON THE TRAIN,102,5,4832,8435,417,2082071,3313269,109917,3.92
1,Scribner,0,Anthony Doerr,1501173219,0,2017-05-07,ALL THE LIGHT WE CANNOT SEE,81,6,4375,10744,565,1005586,2142471,75056,4.33
2,Vintage,0,E L James,0525431888,0,2017-03-05,FIFTY SHADES DARKER,66,3,71,155,7,737540,1064380,29077,3.84
3,St. Martin's,0,Kristin Hannah,1466850604,0,2017-10-29,THE NIGHTINGALE,63,2,631,1480,150,680040,1319418,63407,4.58
4,Penguin Group,0,Kathryn Stockett,1440697663,0,2012-04-08,THE HELP,58,2,1491,1922,330,2141308,3031266,84485,4.47
5,Washington Square,0,Fredrik Backman,1476738025,0,2017-07-23,A MAN CALLED OVE,56,4,13742,26468,2200,556000,986602,64015,4.36
6,Andrews McMeel,0,Rupi Kaur,144947425X,0,2018-03-11,MILK AND HONEY,52,3,14806,23508,1601,332834,711555,27521,4.08
7,Berkley,0,Liane Moriarty,0425274861,0,2017-05-21,BIG LITTLE LIES,38,3,6879,10800,792,736511,1276316,45566,4.27
8,Ballantine,0,Lisa Wingate,0425284697,0,2018-06-09,BEFORE WE WERE YOURS,35,4,314,515,50,362806,809140,30945,4.37
9,Scout,0,Ruth Ware,1501132954,0,2017-10-08,THE WOMAN IN CABIN 10,35,5,9381,26152,991,363638,730533,28744,3.7
10,Penguin Press,0,Celeste Ng,0735224307,0,2018-06-09,LITTLE FIRES EVERYWHERE,31,3,398,609,95,685205,1457380,51647,4.1
11,Knopf Doubleday Publishing,0,Stieg Larsson,0307272117,0,2013-01-13,THE GIRL WITH THE DRAGON TATTOO,31,6,15966,20449,3082,2582981,3716929,68479,4.14
12,Houghton Mifflin Harcourt,0,Margaret Atwood,038549081X,0,2018-06-03,THE HANDMAID'S TALE,27,3,11,42,1,1436919,2646668,69848,4.11
13,Doubleday,0,John Grisham,1101967684,0,2017-09-24,THE WHISTLER,25,2,344,711,36,76249,143621,5867,3.85
14,Grand Central,0,Nicholas Sparks,1455520667,0,2015-05-17,THE LONGEST RIDE,25,3,59,114,23,111329,218143,9818,4.15
15,Broadway,0,Ernest Cline,0307887448,0,2018-05-20,READY PLAYER ONE,24,3,33521,76595,6045,846639,1419756,86590,4.26
16,Doubleday,0,John Grisham,1524797154,0,2018-05-27,CAMINO ISLAND,23,2,471,778,71,95760,187655,8507,3.75
17,Dell,0,Diana Gabaldon,0440335167,0,2017-09-24,OUTLANDER,21,1,4,12,1,812455,1477027,45189,4.23
18,Andrews McMeel,0,Rupi Kaur,1449486797,0,2018-04-01,THE SUN AND HER FLOWERS,20,5,123636,321655,8656,137067,351082,10271,4.16
19,Doubleday,0,Dan Brown,0385514239,0,2018-03-04,ORIGIN,20,1,146739,305239,15463,252133,495214,23835,3.86
20,Ballantine,0,Martha Hall Kelly,1101883081,0,2017-09-17,LILAC GIRLS,20,2,4706,11062,565,206760,500577,18014,4.28
21,Scribner,0,Stephen King,1501120603,0,2016-03-06,11/22/1963,19,1,1284,2306,229,414832,818704,37669,4.31
22,Vintage,0,E L James,0345803574,0,2015-03-08,FIFTY SHADES TRILOGY,19,3,82905,129111,5705,113881,174969,6487,4.11
23,Forge Books,0,W Bruce Cameron,0765388111,0,2017-04-30,A DOG'S PURPOSE,18,3,1842,4144,323,111533,209501,13161,4.35
24,St. Martin's,0,Kristin Hannah,125016561X,0,2018-06-09,THE GREAT ALONE,16,3,151,243,48,363073,778639,36575,4.34
25,Doubleday,0,Colson Whitehead,0385542364,0,2017-02-12,THE UNDERGROUND RAILROAD,16,3,221102,561223,19420,283638,685051,24524,4.03
26,Ballantine,0,Jodi Picoult,034554496X,0,2017-02-12,SMALL GREAT THINGS,16,3,104,172,35,260815,533873,25170,4.34
27,Grand Central,0,Nicholas Sparks,1455520691,0,2017-02-05,TWO BY TWO,16,3,2015,8889,353,66630,163159,5816,3.92
28,Harper,0,Harper Lee,0062409875,0,2016-07-10,GO SET A WATCHMAN,16,4,54,96,17,229380,575055,29495,3.31
29,Morrow,0,AJ Finn,0062678418,0,2018-05-06,THE WOMAN IN THE WINDOW,15,5,103959,254219,14338,438153,920085,41248,3.94
30,Scribner,0,Stephen King,1501175467,0,2017-12-10,IT,15,1,1333,2982,190,789789,1398689,25068,4.24
31,Grand Central,0,Nicholas Sparks,1455520608,0,2017-07-02,SEE ME,15,2,315,2126,29,67689,150073,5722,3.96
32,Grand Central,0,David Baldacci,0446573043,0,2013-05-05,THE FORGOTTEN,15,2,96,180,14,53077,83160,3121,4.1
33,Delacorte,0,Lee Child,0399593500,0,2018-06-09,THE MIDNIGHT LINE,14,3,346,664,36,61409,114773,4337,4.07
34,Doubleday,0,John Grisham,0385541171,0,2018-02-11,THE ROOSTER BAR,14,3,45633,79484,5082,72570,138315,6487,3.62
35,Grand Central,0,David Baldacci,145558648X,0,2017-05-14,THE LAST MILE,14,3,36,53,3,68493,122851,4300,4.2
36,Riverhead,0,Paula Hawkins,0735211221,0,2018-06-03,INTO THE WATER,13,3,2158,18957,238,274985,680620,23421,3.57
37,Windblown Media,0,William P Young,0964729237,0,2017-05-07,THE SHACK,13,2,445495,632356,29220,533381,785813,32993,3.78
38,"Sarah Crichton/Farrar, Straus & Giroux",0,Matthew Quick,142996023X,0,2013-06-02,THE SILVER LININGS PLAYBOOK,13,4,302,555,73,147850,268353,11940,3.99
39,Delacorte Press,0,William Landay,0345527593,0,2013-04-07,DEFENDING JACOB,13,2,382,624,119,259730,425630,20860,3.99
40,Grand Central,0,David Baldacci,1455586587,0,2018-04-01,THE FIX,12,2,174,376,9,54787,99305,3479,4.16
41,Grand Central,0,David Baldacci,1455521167,0,2015-04-12,THE ESCAPE,12,2,288,1291,34,45456,76943,2898,4.16
42,Houghton Mifflin Harcourt,0,Yann Martel,0547416113,0,2013-04-07,LIFE OF PI,12,3,402,622,75,1326754,2062993,47112,3.91
43,Delacorte,0,Lee Child,0804178828,0,2017-06-18,NIGHT SCHOOL,11,2,550,1403,58,54213,92311,3739,3.97
44,Berkley,0,Nora Roberts,110198760X,0,2017-04-23,THE OBSESSION,11,2,348,664,47,61147,127277,5007,4.2
45,Ecco/HarperCollins,0,Cynthia D'Aprix Sweeney,0062414216,0,2016-06-19,THE NEST,11,2,126598,275349,12690,153290,316527,14227,3.42
46,Grand Central,0,David Baldacci,1455586501,0,2017-04-09,NO MAN'S LAND,10,3,216,1181,26,36364,62720,2141,4.18
47,"Little, Brown",0,James Patterson,031640716X,0,2017-03-26,CROSS THE LINE,10,3,15,25,0,18790,43307,1176,4.04
48,Grand Central,0,David Baldacci,1455586439,0,2016-04-17,THE GUILTY,10,2,313,1278,34,41623,71558,2683,4.16
49,Putnam,0,Nora Roberts,1101989750,0,2016-04-10,THE LIAR,10,2,229,503,22,33776,65492,2802,4.0
50,Knopf,0,David Lagercrantz,0385354290,0,2016-03-13,THE GIRL IN THE SPIDER'S WEB,10,6,367,737,73,136721,268610,13012,3.77
51,Knopf Doubleday,0,John Grisham,0440245117,0,2011-09-11,THE CONFESSION,10,2,812,1798,143,60491,96850,5983,3.85
52,Vintage,0,EL James,0385543980,0,2018-02-25,DARKER,9,1,64,99,14,34284,98246,2559,4.09
53,Viking,0,Ken Follett,052595497X,0,2017-12-10,A COLUMN OF FIRE,9,4,37001,101564,3734,68184,167170,5352,4.2
54,Flatiron,0,Liane Moriarty,1250069815,0,2017-01-15,TRULY MADLY GUILTY,9,3,146,246,44,232147,539259,19494,3.57
55,Grand Central,0,Nicholas Sparks,0446401315,0,2016-03-06,THE CHOICE,9,2,177,298,18,151387,269042,7660,4.0
56,Delacorte,0,Lee Child,0804178755,0,2015-05-24,PERSONAL,9,1,586,1170,57,58788,97792,3882,3.95
57,Grand Central,0,David Baldacci,145552123X,0,2014-07-06,THE TARGET,9,2,33,54,11,44057,75689,2668,4.08
58,Grand Central,0,David Baldacci,1455521280,0,2013-07-07,THE HIT,9,2,70,131,14,54960,86884,3187,4.09
59,"Little, Brown",0,James Patterson and Michael Ledwidge,031612723X,0,2011-09-11,NOW YOU SEE HER,9,4,103,200,17,34337,59798,2622,4.01
60,St. Martin's,0,Greer Hendricks and Sarah Pekkanen,125013093X,0,2018-06-03,THE WIFE BETWEEN US,8,4,34,54,9,216459,456396,21535,3.84
61,Algonquin,0,Tayari Jones,1616207604,0,2018-04-15,AN AMERICAN MARRIAGE,8,3,141,244,42,250258,592840,22144,3.96
